Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-08-29 00:00:00+00:00,All,All,All,SC-Laurens,178.25,8.0,7.25,0
2021-08-29 00:00:00+00:00,All,All,All,SC-Marion,1.25,0.25,0.25,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Cooke,147.25,5.0,2.75,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Hockley,82.0,2.0,2.25,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Hopkins,183.25,5.0,4.25,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Titus,94.25,4.0,2.5,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Curry,35.13274336283185,0.09734513274336283,0.0,1
2021-08-29 00:00:00+00:00,All,All,All,TX-Cochran,6.75,0.0,0.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Coleman,40.0,0.5,0.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Young,55.5,2.5,2.75,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Baldwin,573.75,10.75,9.0,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Blount,166.75,2.75,2.0,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Coffee,149.25,3.75,3.5,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Etowah,684.0,12.75,13.0,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Jefferson,2092.0,38.5,37.0,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Jefferson_Birmingham,139.0,28.0,28.0,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Limestone,255.0,0.0,0.0,1
2021-08-29 00:00:00+00:00,All,All,All,AL-St_Clair,227.75,7.0,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Talladega,360.5,6.75,6.25,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Columbia,161.5,3.0,3.0,0
